input_index,input_x,input_y,polygon_index,tree_top_x,tree_top_y,tree_height,centre_x,centre_y
85,621447.5858616995,7741195.430368124,85,621446.8527263761,7741196.792374129,233.0,621446.7289432179,7741196.786739905
86,621450.3768333849,7741195.134482013,86,621451.7547867477,7741196.851793043,216.0,621450.5122844696,7741195.788850692
87,621453.6736303531,7741193.790806032,87,621453.9384318225,7741194.727566882,231.0,621454.7815697998,7741194.43463526
88,621457.5610117166,7741193.803883704,88,621459.2564245893,7741194.059104104,226.0,621458.5469406431,7741193.157331607
89,621461.6680358534,7741192.022129968,89,621463.1335087015,7741192.900435288,226.0,621462.4475104994,7741192.037043053
90,621465.6330235511,7741192.020638591,90,621466.6837887887,7741191.236705708,202.0,621466.5993950091,7741190.833149873
91,621470.6376296263,7741188.791962909,91,621470.1449405056,7741189.498702485,238.0,621470.6309469038,7741189.372176124
92,621473.9248283427,7741187.490725204,92,621475.448078544,7741187.508168881,245.0,621474.3844664464,7741187.930016567
93,621476.796171583,7741187.372362499,93,621477.8396898162,7741187.13680067,233.0,621478.0934929033,7741186.802549583
94,621481.863124298,7741185.428695068,94,621481.9395948543,7741186.260371695,222.0,621482.0412570689,7741185.580536427
95,621484.4929870991,7741182.954530298,95,621485.1630709169,7741185.265104893,221.0,621485.7781124678,7741184.140713602
96,621490.2003127016,7741181.264981693,96,621491.0603980913,7741182.858638892,218.0,621489.7819326041,7741182.452282982
97,621494.4347690513,7741180.72103633,97,621492.5904351163,7741181.610841706,213.0,621493.4874401201,7741181.038249321
98,621366.4011606656,7741224.367615683,98,621364.7803519724,7741223.679432532,212.0,621365.9623101292,7741223.313833013
99,621369.4550227528,7741223.586617702,99,621370.0686352825,7741223.649723074,217.0,621370.0830179934,7741222.6177258
100,621374.30894097,7741223.078703109,100,621374.1239761353,7741221.37694963,230.0,621374.238153455,7741221.896538073
101,621377.7043133451,7741222.002304757,101,621379.1894385193,7741221.629480013,242.0,621378.3799113149,7741221.221007429
102,621381.4983079215,7741221.083766446,102,621381.4622119644,7741221.154128703,236.0,621382.6419638823,7741220.319739825
103,621385.2543609436,7741218.607014678,103,621386.3494176075,7741219.980605161,224.0,621386.3298997412,7741219.6236641975
104,621389.0798775344,7741219.451260194,104,621391.3703158065,7741217.678122259,223.0,621390.3740854355,7741218.560307889
105,621394.6864549249,7741219.032129266,105,621394.8017580665,7741218.198037753,218.0,621394.4050478932,7741217.5636511985
106,621399.2660528581,7741217.135160664,106,621399.5552711542,7741217.588993888,254.0,621398.6014873674,7741217.052476081
107,621401.5008144741,7741215.425853466,107,621402.5113621056,7741215.954973764,233.0,621402.6262274683,7741216.306330976
108,621407.8294976249,7741216.683660675,108,621405.8536759953,7741215.910409579,211.0,621406.8524285133,7741215.312734441
109,621410.680909085,7741214.622212011,109,621410.3398039718,7741213.11772064,205.0,621410.6586074578,7741214.460840442
110,621413.3114916496,7741213.026003758,110,621413.4444422072,7741213.905021245,213.0,621414.6986417595,7741213.628156367
111,621420.179172465,7741213.402005176,111,621418.7921444307,7741211.127187035,210.0,621418.9749734493,7741212.399243419
112,621423.8022731494,7741210.915596754,112,621423.2485629504,7741212.805771343,215.0,621422.9766644066,7741211.805466083
113,621425.6855642955,7741211.342218177,113,621426.0115424326,7741210.755818824,210.0,621426.8079049607,7741210.684232094
114,621432.3204038064,7741209.504106319,114,621429.5172583347,7741210.384450614,220.0,621430.8277774772,7741209.67202787
115,621435.9128245569,7741207.25129999,115,621436.083048287,7741209.730842564,230.0,621435.1265459877,7741208.3916474115
116,621440.3489724679,7741206.824566944,116,621438.28154809,7741207.250102922,224.0,621439.0124722584,7741207.250784352
117,621441.3770234805,7741205.069523595,117,621443.4807030297,7741205.482390244,208.0,621442.6591161204,7741206.1556290295
118,621447.3788774402,7741204.137820547,118,621447.7440100802,7741205.705211168,236.0,621446.8134247147,7741204.827446696
119,621454.5062145136,7741203.011748941,119,621455.334776292,7741202.556008749,235.0,621454.5275024247,7741202.412187103
120,621458.1174759911,7741202.189234753,120,621459.5386644289,7741200.075269106,237.0,621458.7440743973,7741201.326611636
121,621462.2328950529,7741198.638960264,121,621462.1828060838,7741199.897012365,228.0,621462.7422420644,7741200.070939233
122,621466.3145787624,7741198.705694141,122,621467.515653579,7741199.391951599,254.0,621466.5802109132,7741198.8032603385
123,621471.2897822177,7741198.061206436,123,621470.234068876,7741196.42100592,251.0,621470.5081935856,7741197.55155402
